#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.575064E-01   0.292895E+06   0.271213E+06   0.150271E+03   0.135973E+03   0.497676E+04   0.286212E+06   0.289510E+06   0.286212E+06  -0.143491E+00   0.286933E+06   0.285849E+06   0.162836E+02
   0.635544E-01   0.269199E+06   0.253214E+06   0.765055E+02   0.102521E+03   0.386167E+04   0.263656E+06   0.266704E+06   0.263657E+06  -0.132183E+00   0.264277E+06   0.263593E+06   0.929125E+01
   0.702384E-01   0.245955E+06   0.233524E+06   0.649714E+02   0.697292E+02   0.296177E+04   0.241220E+06   0.244015E+06   0.241220E+06  -0.120934E+00   0.241770E+06   0.241280E+06   0.602136E+01
   0.776255E-01   0.221389E+06   0.209624E+06   0.453403E+02   0.552445E+02   0.223320E+04   0.217033E+06   0.219552E+06   0.217033E+06  -0.108808E+00   0.217545E+06   0.217005E+06   0.601045E+01
   0.857894E-01   0.195356E+06   0.182030E+06   0.270962E+02   0.365023E+02   0.164316E+04   0.191054E+06   0.193276E+06   0.191054E+06  -0.957838E-01   0.191549E+06   0.190797E+06   0.756637E+01
   0.948120E-01   0.170062E+06   0.155097E+06   0.209330E+02   0.268193E+02   0.119007E+04   0.165795E+06   0.167726E+06   0.165795E+06  -0.831202E-01   0.166268E+06   0.165342E+06   0.843140E+01
   0.104783E+00   0.148932E+06   0.134663E+06   0.239534E+02   0.200284E+02   0.868087E+03   0.145014E+06   0.146705E+06   0.145014E+06  -0.727019E-01   0.145438E+06   0.144568E+06   0.716593E+01
   0.115804E+00   0.133512E+06   0.122696E+06   0.178450E+02   0.151747E+02   0.648346E+03   0.130303E+06   0.131824E+06   0.130303E+06  -0.653265E-01   0.130654E+06   0.130071E+06   0.434728E+01
   0.127983E+00   0.121089E+06   0.113893E+06   0.789680E+01   0.112454E+02   0.490800E+03   0.118580E+06   0.119965E+06   0.118580E+06  -0.594492E-01   0.118867E+06   0.118552E+06   0.212625E+01
   0.141443E+00   0.107191E+06   0.100804E+06   0.153861E+02   0.753825E+01   0.359547E+03   0.104967E+06   0.106194E+06   0.104967E+06  -0.526245E-01   0.105226E+06   0.104920E+06   0.186593E+01
   0.156318E+00   0.918153E+05   0.843249E+05   0.245359E+01   0.549194E+01   0.254123E+03   0.895981E+05   0.906461E+05   0.895981E+05  -0.449193E-01   0.898459E+05   0.894095E+05   0.240960E+01
   0.172759E+00   0.796874E+05   0.728508E+05   0.401678E+01   0.345389E+01   0.182764E+03   0.777108E+05   0.786202E+05   0.777109E+05  -0.389597E-01   0.779277E+05   0.775383E+05   0.194535E+01
