#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.347893E+00   0.483588E+06   0.481200E+06  -0.257635E-01   0.161988E+00   0.477548E+04   0.477835E+06   0.483215E+06   0.477835E+06  -0.114035E-01   0.254073E+06   0.254058E+06   0.139091E-01
   0.384481E+00   0.416693E+06   0.414660E+06  -0.218876E-01   0.113514E+00   0.345480E+04   0.411732E+06   0.416376E+06   0.411732E+06  -0.982597E-02   0.218927E+06   0.218915E+06   0.105623E-01
   0.424918E+00   0.357772E+06   0.355993E+06  -0.197470E-01   0.739399E-01   0.248546E+04   0.353502E+06   0.357495E+06   0.353502E+06  -0.843632E-02   0.187967E+06   0.187956E+06   0.847516E-02
   0.469607E+00   0.307640E+06   0.306136E+06  -0.165567E-01   0.588285E-01   0.178745E+04   0.303969E+06   0.307405E+06   0.303969E+06  -0.725420E-02   0.161629E+06   0.161620E+06   0.642200E-02
   0.518996E+00   0.263561E+06   0.262268E+06  -0.126634E-01   0.396082E-01   0.127844E+04   0.260412E+06   0.263359E+06   0.260412E+06  -0.621472E-02   0.138470E+06   0.138462E+06   0.500281E-02
   0.573579E+00   0.225531E+06   0.224422E+06  -0.836515E-02   0.250846E-01   0.911770E+03   0.222834E+06   0.225358E+06   0.222834E+06  -0.531792E-02   0.118489E+06   0.118482E+06   0.388786E-02
   0.633902E+00   0.192767E+06   0.191819E+06  -0.512564E-02   0.186856E-01   0.648490E+03   0.190460E+06   0.192619E+06   0.190460E+06  -0.454532E-02   0.101275E+06   0.101269E+06   0.300411E-02
   0.700571E+00   0.164538E+06   0.163730E+06  -0.357972E-02   0.124056E-01   0.459917E+03   0.162568E+06   0.164412E+06   0.162568E+06  -0.387968E-02   0.864440E+05   0.864391E+05   0.231813E-02
   0.774251E+00   0.140262E+06   0.139573E+06  -0.250513E-02   0.962993E-02   0.325302E+03   0.138582E+06   0.140154E+06   0.138582E+06  -0.330724E-02   0.736897E+05   0.736856E+05   0.178732E-02
   0.855679E+00   0.119417E+06   0.118831E+06  -0.170724E-02   0.579642E-02   0.229500E+03   0.117986E+06   0.119326E+06   0.117986E+06  -0.281574E-02   0.627385E+05   0.627350E+05   0.137670E-02
   0.945672E+00   0.101551E+06   0.101052E+06  -0.119860E-02   0.408737E-02   0.161525E+03   0.100334E+06   0.101473E+06   0.100334E+06  -0.239446E-02   0.533520E+05   0.533490E+05   0.105939E-02
   0.104513E+01   0.862622E+05   0.858389E+05  -0.833061E-03   0.324620E-02   0.113430E+03   0.852281E+05   0.861961E+05   0.852281E+05  -0.203396E-02   0.453197E+05   0.453171E+05   0.814441E-03
   0.115505E+01   0.731967E+05   0.728375E+05  -0.578776E-03   0.185953E-02   0.794869E+02   0.723190E+05   0.731407E+05   0.723190E+05  -0.172589E-02   0.384554E+05   0.384532E+05   0.625550E-03
   0.127652E+01   0.620478E+05   0.617433E+05  -0.401727E-03   0.129464E-02   0.555916E+02   0.613036E+05   0.620002E+05   0.613036E+05  -0.146301E-02   0.325981E+05   0.325962E+05   0.480073E-03
   0.141078E+01   0.525458E+05   0.522880E+05  -0.278574E-03   0.903004E-03   0.388082E+02   0.519156E+05   0.525056E+05   0.519156E+05  -0.123896E-02   0.276060E+05   0.276044E+05   0.368147E-03
   0.155915E+01   0.444580E+05   0.442399E+05  -0.192968E-03   0.733802E-03   0.270450E+02   0.439247E+05   0.444239E+05   0.439247E+05  -0.104826E-02   0.233569E+05   0.233556E+05   0.282125E-03
   0.172313E+01   0.375818E+05   0.373974E+05  -0.133554E-03   0.415942E-03   0.188170E+02   0.371309E+05   0.375530E+05   0.371309E+05  -0.886127E-03   0.197443E+05   0.197432E+05   0.216077E-03
   0.190435E+01   0.317420E+05   0.315863E+05  -0.923542E-04   0.310448E-03   0.130725E+02   0.313611E+05   0.317177E+05   0.313611E+05  -0.748432E-03   0.166763E+05   0.166753E+05   0.165408E-03
